id,message,urgency_level,urgency_score,service_type,timestamp
598,"My daughter has had ear pain since last night, she's pulling on them and crying a bit, I think it might be an ear infection, can I wait until Monday to see the doctor or should I consult now?",low,1,Medical advice,2025-10-02T14:36:04.741Z
599,"Hello yes, I'm at 34 Oak Street, there's a fire, the flames are already on the second floor and I'm trapped on the third with my children, smoke is everywhere, we can't get out through the stairs!",critical,4,Police,2025-09-29T12:35:57.940Z
600,"My 8-year-old son fell off his bike, he twisted his ankle and it swelled up pretty quickly, he has trouble putting his foot down, I don't know if it's a sprain or a fracture",moderate,2,On-call doctor,2025-09-26T17:56:09.644Z
601,"There's a small fire in the trash bin outside behind my building, it's been burning for 10 minutes but it's contained for now, however there's smoke rising and it could spread",moderate,2,Police,2025-09-16T01:21:24.322Z
602,"I lost my car keys in the municipal park this afternoon, it's a keychain with several keys and a building badge, I wanted to report it in case someone finds them",low,1,Local police,2025-09-13T16:05:00.162Z
603,"Hello, I'm calling about my 78-year-old mother, she fell down the stairs 20 minutes ago, she's in a lot of pain in her hip and can't get up, she's conscious but moaning in pain",urgent,3,Fire Department,2025-09-25T12:35:01.073Z
604,"Hi, I made some homemade cookies yesterday and they came out perfectly, the house smelled amazing",none,0,Community line,2025-09-16T16:26:41.659Z
605,"My 10-year-old son just cut himself deeply with a kitchen knife, the cut is at least 5 cm on his forearm, it's bleeding a lot, I put a towel on it but the blood is soaking through",urgent,3,Police,2025-09-24T16:03:03.347Z
606,"I'm calling to say that my neighbor's cat came to visit me this afternoon, she's so friendly and I gave her some treats",none,0,Community line,2025-09-23T03:51:00.102Z
607,"Hi, I'm just calling to let you know I saw a beautiful sunset today while walking my dog in the park, it was really peaceful",none,0,General info,2025-10-09T03:44:41.206Z
608,"Hi, my daughter got a good grade on her math test today, she studied really hard for it and I'm proud of her",none,0,Community line,2025-09-30T03:01:53.101Z
609,"Just mentioning that I started a new hobby of bird watching, I saw three different species in my backyard this morning",none,0,General info,2025-09-30T12:15:26.463Z
610,"There was an explosion in my building at train station, I'm in the basement, there's debris everywhere, I'm trapped under a beam and my leg hurts badly, I think it's broken, I can feel blood flowing",critical,4,EMS,2025-09-19T20:52:10.319Z
611,"I just hit my head hard on an open door, a big bump is forming and I feel a bit nauseous, I didn't lose consciousness but I feel dizzy",moderate,2,On-call doctor,2025-09-28T06:13:07.531Z
612,"I'm calling to say that my neighbor's cat came to visit me this afternoon, she's so friendly and I gave her some treats",none,0,N/A,2025-10-01T06:30:18.085Z
613,"There's a burglary in progress at my neighbor's house, I hear noise and voices, I see shadows with flashlights through the window, I think there are several of them",urgent,3,Fire Department,2025-10-04T00:59:30.817Z
614,"I got a small cut while gardening this morning, it's not deep but I'm not sure if I'm up to date with my tetanus shots, what do you recommend?",low,1,Health hotline,2025-10-02T07:38:10.441Z
615,"My neighbor is shooting with a firearm in the apartment next door, I hear gunshots and screams, I'm barricaded in my bathroom with my kids, we're really scared",critical,4,Fire Department,2025-10-05T05:01:20.534Z
616,"I'd like to have information on how to take my medications, I have a prescription but I don't understand well when I should take them in relation to meals",low,1,Health hotline,2025-09-23T23:22:34.160Z
617,"I've had severe stomach pain since this morning, I've vomited several times and have diarrhea, I think it's food poisoning, I ate seafood last night",moderate,2,On-call doctor,2025-09-19T16:53:02.642Z
618,"This is an absolute emergency! My 4-year-old son just fell into the pool, I pulled him out but he's not breathing, water is coming out of his mouth, I don't know what to do, help me!",critical,4,EMS,2025-09-28T22:30:53.970Z
619,"I burned myself taking a dish out of the oven, blisters are forming on my hand, it's red and hurts a lot, I put it under cold water but I don't know if that's enough",moderate,2,Police,2025-10-08T07:12:39.304Z
620,"I think my teenage son overdosed, I found him in his room in a weird state, his pupils are huge, he's delirious and vomiting, I found suspicious bags",urgent,3,Fire Department,2025-10-07T21:10:40.242Z
621,"I'm calling to say that my tomato plants are growing well this year, I'm hoping for a good harvest",none,0,General info,2025-09-18T02:04:43.034Z
622,"I wanted to share that I'm learning to play guitar and I finally managed to play a full song without stopping, it feels great",none,0,Community line,2025-09-23T00:41:29.325Z
623,"My neighbors have been making a lot of noise since midnight with loud music, I have to get up early tomorrow for work and I can't sleep, can you intervene?",low,1,Local police,2025-09-19T22:43:56.792Z
624,"I was just assaulted and robbed on the street near my home, they hit me several times in the face, my nose is bleeding and I have a broken tooth, I'm bleeding quite a bit from my mouth",urgent,3,Fire Department,2025-09-14T03:14:02.124Z
625,"There's an aggressive stray cat that came into my yard, it's growling and hissing, I'm afraid it might be rabid and my children want to go out and play, I don't know how to make it leave",moderate,2,Fire Department,2025-09-18T06:36:13.709Z
626,"Just wanted to mention that I tried a new recipe for dinner tonight and it turned out pretty good, the family enjoyed it",none,0,General info,2025-09-12T10:28:39.603Z
627,"I lost my car keys in the municipal park this afternoon, it's a keychain with several keys and a building badge, I wanted to report it in case someone finds them",low,1,Health hotline,2025-09-14T21:28:01.556Z
628,"My father was electrocuted while repairing the electrical panel, he fell to the ground and isn't moving, he has burns on his hands and is barely breathing, I don't dare touch him",critical,4,Police,2025-09-29T22:44:29.370Z
629,"Hello, I cut myself opening a can an hour ago, I put a bandage on but it's still bleeding a bit through it, the cut is about 3 cm on my thumb, I'm wondering if I need stitches",moderate,2,On-call doctor,2025-09-18T06:38:10.557Z
630,"There's an aggressive stray cat that came into my yard, it's growling and hissing, I'm afraid it might be rabid and my children want to go out and play, I don't know how to make it leave",moderate,2,Police,2025-09-29T09:27:13.657Z
631,"My teenage son swallowed all the medications from the medicine cabinet, I just found him unconscious in his room with the empty boxes next to him, he's barely breathing",critical,4,Fire Department,2025-09-27T06:40:48.913Z
632,"My 8-year-old son fell off his bike, he twisted his ankle and it swelled up pretty quickly, he has trouble putting his foot down, I don't know if it's a sprain or a fracture",moderate,2,Police,2025-09-30T23:54:01.368Z
633,"My elderly neighbor rang my doorbell completely lost, she doesn't know where she lives or what her name is, she looks disoriented, I think she suffers from dementia, I don't know what to do",moderate,2,On-call doctor,2025-09-23T17:43:17.787Z
634,"My knee hurts when I go up the stairs for a few days now, it's not unbearable but it's annoying, I think it might be arthritis",low,1,Health hotline,2025-09-15T02:46:50.229Z
635,"I've had back pain since I did gardening yesterday, I can't bend properly, I took an anti-inflammatory but I wanted to know if I should be worried",low,1,Local police,2025-09-24T14:17:49.270Z
636,"Hi, my daughter got a good grade on her math test today, she studied really hard for it and I'm proud of her",none,0,Community line,2025-09-27T20:23:33.362Z
637,"My colleague just had a medical emergency at work, he suddenly fainted during the meeting, he fell backwards and hit his head against the wall, he's not waking up",urgent,3,Police,2025-10-06T20:15:01.696Z
638,"I'm calling to say that my tomato plants are growing well this year, I'm hoping for a good harvest",none,0,General info,2025-09-16T03:35:20.590Z
639,"Hello yes, I'm at train station, there's a fire, the flames are already on the second floor and I'm trapped on the third with my children, smoke is everywhere, we can't get out through the stairs!",critical,4,Police,2025-10-09T03:39:58.568Z
640,"My daughter has had ear pain since last night, she's pulling on them and crying a bit, I think it might be an ear infection, can I wait until Monday to see the doctor or should I consult now?",low,1,Health hotline,2025-10-08T17:15:26.319Z
641,"I'm calling to say that my tomato plants are growing well this year, I'm hoping for a good harvest",none,0,Community line,2025-09-24T18:57:22.788Z
642,"Just mentioning that I started a new hobby of bird watching, I saw three different species in my backyard this morning",none,0,General info,2025-09-23T09:23:05.809Z
643,"There's a fire starting in my kitchen, I tried to extinguish it with water but it's getting worse, there's a lot of black smoke coming from the oven, I evacuated my children but I don't know if I should stay",urgent,3,EMS,2025-09-11T11:08:47.978Z
644,"Hello, I reconnected with an old friend on social media today, it was nice to catch up after all these years",none,0,General info,2025-10-04T11:33:25.845Z
645,"Hello, I wanted to share that I finally finished reading that book I started last month, it was quite interesting",none,0,Community line,2025-10-07T19:07:41.701Z
